2,Pembrokeshire,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Pembrokeshire,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Pembrokeshire,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Pembrokeshire,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Pembrokeshire,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Pembrokeshire,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Pembrokeshire,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Pembrokeshire,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Pembrokeshire,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Pembrokeshire,Summer Holidays,20 Jul 2020(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Powys,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Powys,Winter Holidays,24 Dec 2018(Mon),7 Jan 2019(Mon)
2,Powys,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Powys,Spring Holidays,12 Apr 2019(Fri),26 Apr 2019(Fri)
4,Powys,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Powys,Summer Holidays,22 Jul 2019(Mon),2 Sep 2019(Mon)
6,Powys,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Powys,Winter Holidays,23 Dec 2019(Mon),6 Jan 2020(Mon)
8,Powys,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Powys,Spring Holidays,6 Apr 2020(Mon),20 Apr 2020(Mon)
10,Powys,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Powys,Summer Holidays,20 Jul 2020(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Rhondda Cynon Taf,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Rhondda Cynon Taf,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Rhondda Cynon Taf,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Rhondda Cynon Taf,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Rhondda Cynon Taf,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Rhondda Cynon Taf,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Rhondda Cynon Taf,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Rhondda Cynon Taf,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Rhondda Cynon Taf,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Rhondda Cynon Taf,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Rhondda Cynon Taf,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Rhondda Cynon Taf,Summer Holidays,20 Jul 2020(Mon),
,Local Authority,School Holidays,Starts,Finishes
0,Swansea,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Swansea,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Swansea,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Swansea,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Swansea,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Swansea,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Swansea,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Swansea,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Swansea,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Swansea,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Swansea,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Swansea,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Torfaen,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Torfaen,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Torfaen,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Torfaen,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Torfaen,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Torfaen,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Torfaen,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Torfaen,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Torfaen,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Torfaen,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Torfaen,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Torfaen,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Vale of Glamorgan,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Vale of Glamorgan,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Vale of Glamorgan,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Vale of Glamorgan,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Vale of Glamorgan,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Vale of Glamorgan,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Vale of Glamorgan,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Vale of Glamorgan,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Vale of Glamorgan,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Vale of Glamorgan,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Vale of Glamorgan,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Vale of Glamorgan,Summer Holidays,21 Jul 2020(Tue),
,Local Authority,School Holidays,Starts,Finishes
0,Wrexham,Autumn Half Term Holidays,29 Oct 2018(Mon),2 Nov 2018(Fri)
1,Wrexham,Winter Holidays,24 Dec 2018(Mon),4 Jan 2019(Fri)
2,Wrexham,Spring Half Term Holidays,25 Feb 2019(Mon),1 Mar 2019(Fri)
3,Wrexham,Spring Holidays,15 Apr 2019(Mon),26 Apr 2019(Fri)
4,Wrexham,Summer Half Term Holidays,27 May 2019(Mon),31 May 2019(Fri)
5,Wrexham,Summer Holidays,23 Jul 2019(Tue),30 Aug 2019(Fri)
6,Wrexham,Autumn Half Term Holidays,28 Oct 2019(Mon),1 Nov 2019(Fri)
7,Wrexham,Winter Holidays,23 Dec 2019(Mon),3 Jan 2020(Fri)
8,Wrexham,Spring Half Term Holidays,17 Feb 2020(Mon),21 Feb 2020(Fri)
9,Wrexham,Spring Holidays,6 Apr 2020(Mon),17 Apr 2020(Fri)
10,Wrexham,Summer Half Term Holidays,25 May 2020(Mon),29 May 2020(Fri)
11,Wrexham,Summer Holidays,21 Jul 2020(Tue),
